Farm ID,Year,Male_Fl,Female_Fl,Total_Fl,Total_Male_Visitor,Total_Female_Visitor,Total_Visitor,Total_Dorsata,Dorsata_Male,Dorsata_Female,Total_Cerana,Cerana_Male,Cerana_Female,Total_Florea,Florea_Male,Florea_Female,Total_Trigona,Trigona_Male,Trigona_Female,Total flower ,Total Fruit Formed-1,Fruit length ,Fruit Breadth,Fruit Weight,,FN_14_CI05,FN_14_CI95,FW_14_CI05,FW_14_CI95
Field 1,2014,28.41666667,2.357142857,29.79166667,0.263277381,0.115476191,0.341349903,0.048337686,0.032866044,0.020238095,0.112409096,0.093853664,0.03452381,0.155659435,0.113931853,0.054761905,0.024943686,0.02262582,0.005952381,50,11,,,367.75,*,1.862179845,2.852105869,355.5097086,379.9902914
Field 11,2014,35.875,3.708333333,39.58333333,0.260197024,0.24457672,0.504773744,0.25649685,0.158910871,0.097585979,0.023935501,0.006739734,0.017195767,0.187373017,0.08456217,0.102810847,0.036968377,0.00998425,0.026984127,49,15,121.377,62.627,238.25,,3.166374104,4.250292563,230.1493707,246.3506293
Field 14,2014,29.45833333,3.222222222,31.875,0.49719314,0.364969136,0.876666692,0.295926642,0.198483211,0.100462963,0.004455832,0.004765485,0,0.576464049,0.286336653,0.267283951,0.002597948,0.007607792,0,48,13,118.266,66.565,271.25,,2.788639924,3.65580452,256.9903781,285.5096219
Field 17,2014,34.75,3.625,38.375,0.288186149,0.331597222,0.619783371,0.25945081,0.08445081,0.175,0.207352094,0.11151876,0.095833333,0.054475845,0.035378622,0.019097222,0.098504623,0.056837956,0.041666667,50,18,126.643,72.958,286.27,,3.210408979,4.039591021,272.7754156,299.7645844
Field 19,2014,30.375,3.25,33.625,0.263223837,0.173958333,0.43718217,0.192368861,0.117368861,0.075,0.077672717,0.043297717,0.034375,0.001681121,0.001681121,0,0.165459471,0.100876138,0.064583333,50,22,116.601,69.241,259.2,,2.781567965,3.718432035,243.3307529,275.0692471
Field 2,2014,12.625,4.818181818,17.04166667,0.025467836,0.004356061,0.02375,0.000606061,0.000555556,0,0.003246753,0.004079992,0,0.005411255,0.003571429,0.001515152,0.014485931,0.01726086,0.002840909,48,3,,,196.23,*,4.31623123,6.047405134,188.7417265,203.7182735
Field 22,2014,28.6875,3.1875,31.875,0.254436984,0.359895833,0.614332818,0.313486204,0.13154176,0.181944445,0.006959516,0.006959516,0,0.14131894,0.059895329,0.081423611,0.152568158,0.05604038,0.096527778,50,18,122.328,73.14,283.7,,2.746894356,3.628105644,267.795231,299.604769
Field 25,2014,30.3125,3.3125,33.625,0.271616755,0.173229167,0.444845922,0.100516086,0.05433553,0.046180556,0.083425635,0.064502024,0.018923611,0.107566533,0.061108199,0.046458333,0.153337668,0.091671002,0.061666667,38,7,121.766,68.413,252.05,,3.058675914,3.566324086,238.7541979,265.3458021
Field 28,2014,27.125,3.625,30.75,0.208976622,0.161631945,0.370608567,0.17838071,0.103727932,0.074652778,0.095395005,0.047131116,0.048263889,0.000997564,0.000997564,0,0.095835288,0.05712001,0.038715278,50,17,116.708,70.955,253.7,,3.257812491,3.992187509,243.2296139,264.1703861
Field 30,2014,39.25,3.041666667,42.29166667,0.288880665,0.261805556,0.550686221,0.128118277,0.093048833,0.035069445,0.024380035,0.015699479,0.008680556,0.270321844,0.125298696,0.145023148,0.128196752,0.055164345,0.073032408,50,17,125.237,72.35,279.8,,2.637782147,3.445551186,261.2245091,298.3754909
Field 4,2014,24.66666667,3.5,27.29166667,0.628886581,0.333410494,0.970712321,0,0,0,0.065762457,0.055639649,0.00462963,0.047911914,0.014819518,0.030092593,0.85703795,0.558427415,0.298688272,50,11,108.702,65.416,206.05,,2.71020893,4.28979107,199.7204679,212.3795321
Field 6,2014,31.1875,2.9375,34.125,0.210155026,0.183333334,0.39348836,0.146061589,0.083561589,0.0625,0.07241151,0.034737899,0.037673611,0.066481693,0.034884471,0.031597222,0.108533568,0.056971068,0.0515625,48,14,113.08,66.516,222,,2.64031319,3.23468681,209.0620764,234.9379236
Field 7,2014,33,4,37,0.298532114,0.216338735,0.514870849,0.077980793,0.056665206,0.021315587,0.163325145,0.092433941,0.070891204,0.21406702,0.104981372,0.109085648,0.059497891,0.044451595,0.015046296,47,3,121.091,74.443,285.5,,3.341710605,4.658289395,260.3516282,310.6483718
Field A,2014,37.95833333,4.625,42.58333333,0.408598564,0.453626543,0.862225108,0.275034332,0.137278049,0.137756283,0.211732149,0.105462859,0.10626929,0.311776754,0.131342451,0.180434303,0.063681873,0.034515206,0.029166667,47,9,104.392,60.055,171.5,,4.183658173,5.066341827,157.7397519,185.2602481
Field F,2014,29.1875,3.375,32.5625,0.31696591,0.283159722,0.600125632,0.127830681,0.064809848,0.063020834,0.023934896,0.01351823,0.010416667,0.169965966,0.095313188,0.074652778,0.278394089,0.143324645,0.135069445,45,12,110.031,64.09,186.75,,2.972342163,3.777657837,175.8339812,197.6660188
Field F33,2014,26.4375,2.9375,29.375,0.193680402,0.138888889,0.332569291,0.06355346,0.037511794,0.026041667,0.110587271,0.061455327,0.049131945,0,0,0,0.158428559,0.094713282,0.063715278,47,5,115.238,67.063,219.55,,2.597460787,3.277539213,203.4789188,235.6210812
Field K,2014,31.5,3.125,34.625,0.262585159,0.272569444,0.535154603,0.201149711,0.081358044,0.119791667,0.239864155,0.114864155,0.125,0.026363617,0.021155284,0.005208333,0.067777121,0.045207676,0.022569445,50,10,117.108,62.596,198.15,,2.74733802,3.50266198,187.4543381,208.8456619
Field L,2014,32.66666667,3.666666667,36.33333333,0.357089081,0.277777778,0.634866858,0.154231448,0.085944411,0.068287037,0.081806939,0.06791805,0.013888889,0.28960831,0.13335831,0.15625,0.109220161,0.06986831,0.039351852,50,9,120.735,66.988,248.1,,3.160191424,4.17314191,213.9722938,282.2277062
Field M,2014,30.75,2.8125,33.5625,0.252394635,0.2265625,0.478957135,0.081482355,0.038947632,0.042534722,0.160035516,0.09493135,0.065104167,0.086398277,0.05254411,0.033854167,0.151040987,0.065971543,0.085069445,49,11,120.493,66.466,231.55,,2.5455668,3.0794332,216.9148202,246.1851798
Field N2,2014,33.66666667,3.826086957,37.33333333,0.483398557,0.591804693,1.085287448,0.044073157,0.039720938,0.00326087,0.067992254,0.041700423,0.027657005,0.321201711,0.140289676,0.177355073,0.652930336,0.262559614,0.383531746,,,,,,,3.3067269,4.345447013,,
Field O,2014,27.25,3.75,31,0.32516414,0.080555556,0.405719695,0.103713026,0.103713026,0,0.143971507,0.120707618,0.023263889,0.158035163,0.100743496,0.057291667,0,0,0,50,9,,,257.5,*,3.43,4.07,246.8545085,268.1454915
Field P11,2014,32.375,3.875,36.25,0.195618587,0.03125,0.226868587,0.118383162,0.101022051,0.017361111,0.102665319,0.08877643,0.013888889,0.005820106,0.005820106,0,0,0,0,50,5,119.491,65.241,230.7,,3.426510472,4.323489528,213.1930914,248.2069086
Field SN14,2014,30.3125,3.25,33.5625,0.200541822,0.150173611,0.350715433,0.137754832,0.087060388,0.050694445,0.068023259,0.030349648,0.037673611,0.135833871,0.079236649,0.056597222,0.009103472,0.003895139,0.005208333,50,14,112.799,68.676,260.5,,2.871370894,3.628629106,237.8643381,283.1356619
Field Z,2014,31.75,3.75,35.5,0.235883821,0.140711806,0.376595626,0.179515549,0.112328049,0.0671875,0.064943493,0.041245577,0.023697917,0.000538793,0.000538793,0,0.131597791,0.081771402,0.049826389,49,16,114.351,68.738,231.85,,3.371370894,4.128629106,216.393989,247.306011
