"ID","Store","StoreNum","CrustDescription","Topping","Diameter","DiameterInches","filter_."
1,"Dominos",1,"ThinNCrispy","Supreme",29.4,11.5748031496063,0
2,"Dominos",1,"ThinNCrispy","BBQMeatlovers",29.63,11.6653543307087,0
3,"Dominos",1,"DeepPan","Hawaiian",27.06,10.6535433070866,0
4,"Dominos",1,"ThinNCrispy","Supreme",27.45,10.8070866141732,0
5,"Dominos",1,"ClassicCrust","Hawaiian",26.59,10.4685039370079,0
6,"Dominos",1,"DeepPan","BBQMeatlovers",27.16,10.6929133858268,0
7,"EagleBoys",2,"MidCrust","SuperSupremo",29.15,11.4763779527559,1
8,"EagleBoys",2,"DeepPan","Hawaiian",28.78,11.3307086614173,1
9,"EagleBoys",2,"ThinCrust","BBQMeatlovers",30.05,11.8307086614173,1
10,"EagleBoys",2,"DeepPan","BBQMeatlovers",29.38,11.5669291338583,1
11,"EagleBoys",2,"ThinCrust","SuperSupremo",29.14,11.4724409448819,1
12,"EagleBoys",2,"MidCrust","Hawaiian",29.24,11.511811023622,1
13,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.97,11.4055118110236,1
14,"EagleBoys",2,"ThinCrust","Hawaiian",29.98,11.8031496062992,1
15,"EagleBoys",2,"MidCrust","Hawaiian",28.93,11.3897637795276,1
16,"EagleBoys",2,"ThinCrust","SuperSupremo",29.47,11.6023622047244,1
17,"EagleBoys",2,"ThinCrust","SuperSupremo",30,11.8110236220472,1
18,"EagleBoys",2,"ThinCrust","Hawaiian",30.01,11.8149606299213,1
19,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.66,11.2834645669291,1
20,"EagleBoys",2,"ThinCrust","Hawaiian",30.44,11.9842519685039,1
21,"Dominos",1,"ThinNCrispy","Supreme",26.38,10.3858267716535,0
22,"Dominos",1,"ThinNCrispy","Hawaiian",28.86,11.3622047244094,0
23,"Dominos",1,"DeepPan","BBQMeatlovers",26.6,10.4724409448819,0
24,"Dominos",1,"ClassicCrust","Hawaiian",26.65,10.492125984252,0
25,"Dominos",1,"DeepPan","Supreme",26.5,10.4330708661417,0
26,"Dominos",1,"ClassicCrust","Supreme",26.55,10.4527559055118,0
27,"Dominos",1,"DeepPan","Supreme",26.64,10.488188976378,0
28,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.15,10.2952755905512,0
29,"Dominos",1,"ThinNCrispy","Hawaiian",28.92,11.3858267716535,0
30,"Dominos",1,"DeepPan","Supreme",26.87,10.5787401574803,0
31,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.56,10.4566929133858,0
32,"Dominos",1,"ClassicCrust","Hawaiian",26.65,10.492125984252,0
33,"Dominos",1,"DeepPan","Supreme",26.61,10.4763779527559,0
34,"Dominos",1,"ThinNCrispy","Hawaiian",28.75,11.3188976377953,0
35,"Dominos",1,"ThinNCrispy","Supreme",29.33,11.5472440944882,0
36,"Dominos",1,"ThinNCrispy","BBQMeatlovers",29,11.4173228346457,0
37,"Dominos",1,"DeepPan","Hawaiian",26.34,10.3700787401575,0
38,"Dominos",1,"ClassicCrust","BBQMeatlovers",27.2,10.7086614173228,0
39,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.61,10.4763779527559,0
40,"EagleBoys",2,"DeepPan","SuperSupremo",28.73,11.3110236220472,1
41,"EagleBoys",2,"DeepPan","BBQMeatlovers",28.48,11.2125984251969,1
42,"EagleBoys",2,"DeepPan","SuperSupremo",29.01,11.4212598425197,1
43,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.73,11.3110236220472,1
44,"EagleBoys",2,"MidCrust","Hawaiian",28.6,11.259842519685,1
45,"EagleBoys",2,"DeepPan","Hawaiian",29.59,11.6496062992126,1
46,"EagleBoys",2,"DeepPan","SuperSupremo",29.04,11.4330708661417,1
47,"EagleBoys",2,"MidCrust","BBQMeatlovers",29.03,11.4291338582677,1
48,"EagleBoys",2,"ThinCrust","BBQMeatlovers",29.75,11.7125984251969,1
49,"EagleBoys",2,"DeepPan","SuperSupremo",28.95,11.3976377952756,1
50,"EagleBoys",2,"DeepPan","BBQMeatlovers",29.38,11.5669291338583,1
51,"EagleBoys",2,"MidCrust","SuperSupremo",28.72,11.3070866141732,1
52,"EagleBoys",2,"DeepPan","SuperSupremo",28.6,11.259842519685,1
53,"EagleBoys",2,"ThinCrust","Hawaiian",29.9,11.7716535433071,1
54,"EagleBoys",2,"ThinCrust","Hawaiian",29.4,11.5748031496063,1
55,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.99,11.4133858267717,1
56,"Dominos",1,"DeepPan","BBQMeatlovers",25.98,10.2283464566929,0
57,"Dominos",1,"ThinNCrispy","Hawaiian",29.04,11.4330708661417,0
58,"Dominos",1,"ThinNCrispy","Hawaiian",29.01,11.4212598425197,0
59,"Dominos",1,"DeepPan","Supreme",26.67,10.5,0
60,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.97,10.6181102362205,0
61,"Dominos",1,"ThinNCrispy","Hawaiian",29.37,11.5629921259843,0
62,"Dominos",1,"DeepPan","Supreme",26.09,10.2716535433071,0
63,"Dominos",1,"ThinNCrispy","Supreme",29.32,11.5433070866142,0
64,"Dominos",1,"DeepPan","Supreme",27.12,10.6771653543307,0
65,"Dominos",1,"DeepPan","BBQMeatlovers",26.37,10.3818897637795,0
66,"EagleBoys",2,"ThinCrust","Hawaiian",30.35,11.9488188976378,1
67,"EagleBoys",2,"MidCrust","SuperSupremo",29.08,11.4488188976378,1
68,"EagleBoys",2,"DeepPan","Hawaiian",28.29,11.1377952755906,1
69,"EagleBoys",2,"DeepPan","SuperSupremo",28.97,11.4055118110236,1
70,"Dominos",1,"ClassicCrust","Supreme",26.83,10.5629921259843,0
71,"Dominos",1,"DeepPan","Hawaiian",26.74,10.5275590551181,0
72,"EagleBoys",2,"DeepPan","Hawaiian",29.82,11.740157480315,1
73,"Dominos",1,"ThinNCrispy","BBQMeatlovers",28.67,11.2874015748031,0
74,"Dominos",1,"ThinNCrispy","BBQMeatlovers",29.11,11.4606299212598,0
75,"Dominos",1,"DeepPan","Hawaiian",26.45,10.4133858267717,0
76,"Dominos",1,"ClassicCrust","Supreme",27.04,10.6456692913386,0
77,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.93,10.6023622047244,0
78,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.41,10.3976377952756,0
79,"Dominos",1,"ThinNCrispy","Hawaiian",29.19,11.492125984252,0
80,"EagleBoys",2,"ThinCrust","Hawaiian",29.42,11.5826771653543,1
81,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.65,11.2795275590551,1
82,"EagleBoys",2,"ThinCrust","SuperSupremo",30.51,12.011811023622,1
83,"EagleBoys",2,"MidCrust","Hawaiian",29.32,11.5433070866142,1
84,"EagleBoys",2,"DeepPan","BBQMeatlovers",28.68,11.2913385826772,1
85,"Dominos",1,"ThinNCrispy","Hawaiian",29.66,11.6771653543307,0
86,"Dominos",1,"ThinNCrispy","Supreme",29.17,11.4842519685039,0
87,"Dominos",1,"ClassicCrust","Hawaiian",26.78,10.5433070866142,0
88,"Dominos",1,"DeepPan","BBQMeatlovers",26.58,10.4645669291339,0
89,"Dominos",1,"ClassicCrust","BBQMeatlovers",27.27,10.7362204724409,0
90,"Dominos",1,"DeepPan","Supreme",27.14,10.6850393700787,0
91,"EagleBoys",2,"DeepPan","SuperSupremo",28.98,11.4094488188976,1
92,"EagleBoys",2,"ThinCrust","BBQMeatlovers",29.43,11.5866141732283,1
93,"EagleBoys",2,"MidCrust","SuperSupremo",28.54,11.2362204724409,1
94,"EagleBoys",2,"MidCrust","Hawaiian",28.8,11.3385826771654,1
95,"EagleBoys",2,"MidCrust","BBQMeatlovers",29.47,11.6023622047244,1
96,"EagleBoys",2,"MidCrust","BBQMeatlovers",29.38,11.5669291338583,1
97,"EagleBoys",2,"ThinCrust","Hawaiian",28.54,11.2362204724409,1
98,"EagleBoys",2,"DeepPan","Hawaiian",29.68,11.6850393700787,1
99,"EagleBoys",2,"MidCrust","BBQMeatlovers",29.19,11.492125984252,1
100,"EagleBoys",2,"MidCrust","Hawaiian",28.79,11.3346456692913,1
101,"EagleBoys",2,"ThinCrust","SuperSupremo",30.08,11.8425196850394,1
102,"EagleBoys",2,"ThinCrust","SuperSupremo",29.4,11.5748031496063,1
103,"EagleBoys",2,"DeepPan","BBQMeatlovers",28.63,11.2716535433071,1
104,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.76,11.3228346456693,1
105,"EagleBoys",2,"DeepPan","SuperSupremo",28.76,11.3228346456693,1
106,"EagleBoys",2,"ThinCrust","Hawaiian",30.31,11.9330708661417,1
107,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.86,11.3622047244094,1
108,"Dominos",1,"ClassicCrust","Supreme",27.04,10.6456692913386,0
109,"Dominos",1,"ThinNCrispy","BBQMeatlovers",28.71,11.3031496062992,0
110,"Dominos",1,"DeepPan","Hawaiian",27,10.6299212598425,0
111,"Dominos",1,"ClassicCrust","Hawaiian",26.77,10.5393700787402,0
112,"Dominos",1,"ThinNCrispy","Supreme",29.19,11.492125984252,0
113,"Dominos",1,"DeepPan","BBQMeatlovers",26.59,10.4685039370079,0
114,"EagleBoys",2,"ThinCrust","BBQMeatlovers",29.48,11.6062992125984,1
115,"EagleBoys",2,"MidCrust","Hawaiian",28.15,11.0826771653543,1
116,"EagleBoys",2,"DeepPan","SuperSupremo",28.98,11.4094488188976,1
117,"EagleBoys",2,"ThinCrust","Hawaiian",29.91,11.7755905511811,1
118,"EagleBoys",2,"DeepPan","BBQMeatlovers",28.94,11.3937007874016,1
119,"EagleBoys",2,"DeepPan","BBQMeatlovers",29.38,11.5669291338583,1
120,"EagleBoys",2,"DeepPan","Hawaiian",28.86,11.3622047244094,1
121,"EagleBoys",2,"MidCrust","SuperSupremo",28.47,11.2086614173228,1
122,"EagleBoys",2,"ThinCrust","SuperSupremo",29.4,11.5748031496063,1
123,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.85,11.3582677165354,1
124,"EagleBoys",2,"DeepPan","SuperSupremo",29.35,11.5551181102362,1
125,"EagleBoys",2,"ThinCrust","Hawaiian",30.17,11.8779527559055,1
126,"EagleBoys",2,"DeepPan","BBQMeatlovers",28.54,11.2362204724409,1
127,"Dominos",1,"ThinNCrispy","Hawaiian",28.95,11.3976377952756,0
128,"EagleBoys",2,"MidCrust","SuperSupremo",26.58,10.4645669291339,1
129,"Dominos",1,"ClassicCrust","Hawaiian",26.7,10.511811023622,0
130,"Dominos",1,"ClassicCrust","BBQMeatlovers",25.51,10.0433070866142,0
131,"Dominos",1,"ThinNCrispy","Hawaiian",29.09,11.4527559055118,0
132,"EagleBoys",2,"DeepPan","Hawaiian",29.92,11.7795275590551,1
133,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.34,11.1574803149606,1
134,"EagleBoys",2,"ThinCrust","BBQMeatlovers",30.67,12.0748031496063,1
135,"EagleBoys",2,"DeepPan","Hawaiian",29.21,11.5,1
136,"EagleBoys",2,"MidCrust","SuperSupremo",29.08,11.4488188976378,1
137,"Dominos",1,"DeepPan","Supreme",26.26,10.3385826771654,0
138,"Dominos",1,"ThinNCrispy","BBQMeatlovers",29.43,11.5866141732283,0
139,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.78,10.5433070866142,0
140,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.28,10.3464566929134,0
141,"Dominos",1,"ThinNCrispy","Hawaiian",29.21,11.5,0
142,"Dominos",1,"DeepPan","Supreme",26.16,10.2992125984252,0
143,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.47,10.4212598425197,0
144,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.71,10.5157480314961,0
145,"Dominos",1,"DeepPan","Supreme",26.7,10.511811023622,0
146,"Dominos",1,"ThinNCrispy","Hawaiian",29.14,11.4724409448819,0
147,"Dominos",1,"ThinNCrispy","Supreme",28.78,11.3307086614173,0
148,"Dominos",1,"DeepPan","BBQMeatlovers",26.73,10.5236220472441,0
149,"Dominos",1,"ClassicCrust","Hawaiian",26.28,10.3464566929134,0
150,"Dominos",1,"DeepPan","Hawaiian",26.42,10.4015748031496,0
151,"EagleBoys",2,"MidCrust","SuperSupremo",28.42,11.1889763779528,1
152,"EagleBoys",2,"ThinCrust","SuperSupremo",31.06,12.2283464566929,1
153,"EagleBoys",2,"DeepPan","BBQMeatlovers",28.68,11.2913385826772,1
154,"EagleBoys",2,"ThinCrust","BBQMeatlovers",29.34,11.5511811023622,1
155,"EagleBoys",2,"MidCrust","SuperSupremo",29.01,11.4212598425197,1
156,"EagleBoys",2,"DeepPan","Hawaiian",29.16,11.4803149606299,1
157,"EagleBoys",2,"DeepPan","BBQMeatlovers",29.53,11.6259842519685,1
158,"EagleBoys",2,"ThinCrust","SuperSupremo",29.51,11.6181102362205,1
159,"EagleBoys",2,"ThinCrust","BBQMeatlovers",28.75,11.3188976377953,1
160,"EagleBoys",2,"DeepPan","BBQMeatlovers",28.19,11.0984251968504,1
161,"EagleBoys",2,"MidCrust","Hawaiian",28.98,11.4094488188976,1
162,"EagleBoys",2,"ThinCrust","SuperSupremo",29.57,11.6417322834646,1
163,"EagleBoys",2,"ThinCrust","SuperSupremo",29.27,11.5236220472441,1
164,"EagleBoys",2,"MidCrust","SuperSupremo",28.8,11.3385826771654,1
165,"EagleBoys",2,"DeepPan","Hawaiian",28.48,11.2125984251969,1
166,"EagleBoys",2,"MidCrust","Hawaiian",28.2,11.1023622047244,1
167,"EagleBoys",2,"DeepPan","Hawaiian",29.04,11.4330708661417,1
168,"EagleBoys",2,"MidCrust","SuperSupremo",28.79,11.3346456692913,1
169,"EagleBoys",2,"ThinCrust","BBQMeatlovers",29.68,11.6850393700787,1
170,"EagleBoys",2,"ThinCrust","BBQMeatlovers",29.51,11.6181102362205,1
171,"EagleBoys",2,"MidCrust","Hawaiian",28.93,11.3897637795276,1
172,"EagleBoys",2,"DeepPan","Hawaiian",29.19,11.492125984252,1
173,"EagleBoys",2,"DeepPan","BBQMeatlovers",28.61,11.2637795275591,1
174,"EagleBoys",2,"MidCrust","Hawaiian",28.29,11.1377952755906,1
175,"Dominos",1,"DeepPan","Hawaiian",26.48,10.4251968503937,0
176,"Dominos",1,"ThinNCrispy","Supreme",29.33,11.5472440944882,0
177,"Dominos",1,"ClassicCrust","Hawaiian",26.58,10.4645669291339,0
178,"Dominos",1,"DeepPan","BBQMeatlovers",26.27,10.3425196850394,0
179,"Dominos",1,"ClassicCrust","Hawaiian",26.65,10.492125984252,0
180,"Dominos",1,"ClassicCrust","Supreme",27.27,10.7362204724409,0
181,"Dominos",1,"DeepPan","Hawaiian",27.04,10.6456692913386,0
182,"Dominos",1,"ClassicCrust","Supreme",28.9,11.3779527559055,0
183,"Dominos",1,"ClassicCrust","Hawaiian",27.15,10.6889763779528,0
184,"Dominos",1,"DeepPan","BBQMeatlovers",27.22,10.7165354330709,0
185,"Dominos",1,"ThinNCrispy","Supreme",29.14,11.4724409448819,0
186,"Dominos",1,"ThinNCrispy","Supreme",29.23,11.507874015748,0
187,"Dominos",1,"ClassicCrust","Hawaiian",26.64,10.488188976378,0
188,"Dominos",1,"ThinNCrispy","BBQMeatlovers",28.82,11.3464566929134,0
189,"Dominos",1,"DeepPan","BBQMeatlovers",26.77,10.5393700787402,0
190,"Dominos",1,"ThinNCrispy","Supreme",28.32,11.1496062992126,0
191,"EagleBoys",2,"DeepPan","Hawaiian",29,11.4173228346457,1
194,"EagleBoys",2,"DeepPan","BBQMeatlovers",29.78,11.7244094488189,1
195,"EagleBoys",2,"MidCrust","Hawaiian",29.81,11.7362204724409,1
196,"EagleBoys",2,"ThinCrust","SuperSupremo",29.86,11.755905511811,1
197,"Dominos",1,"ClassicCrust","Supreme",27.12,10.6771653543307,0
198,"Dominos",1,"DeepPan","Hawaiian",26.55,10.4527559055118,0
199,"Dominos",1,"ClassicCrust","Hawaiian",26.53,10.4448818897638,0
200,"Dominos",1,"DeepPan","BBQMeatlovers",26.77,10.5393700787402,0
201,"Dominos",1,"ThinNCrispy","BBQMeatlovers",28.64,11.2755905511811,0
202,"Dominos",1,"ClassicCrust","Supreme",27.05,10.6496062992126,0
203,"Dominos",1,"DeepPan","Hawaiian",26.7,10.511811023622,0
204,"Dominos",1,"ThinNCrispy","BBQMeatlovers",28.52,11.2283464566929,0
205,"Dominos",1,"ThinNCrispy","Supreme",28.44,11.1968503937008,0
206,"Dominos",1,"ThinNCrispy","BBQMeatlovers",29.41,11.5787401574803,0
207,"Dominos",1,"ClassicCrust","Supreme",26.97,10.6181102362205,0
208,"Dominos",1,"DeepPan","BBQMeatlovers",26.6,10.4724409448819,0
209,"Dominos",1,"ClassicCrust","Supreme",27.52,10.8346456692913,0
210,"Dominos",1,"ThinNCrispy","BBQMeatlovers",27.04,10.6456692913386,0
211,"EagleBoys",2,"DeepPan","Hawaiian",29.3,11.5354330708661,1
212,"EagleBoys",2,"ThinCrust","BBQMeatlovers",30.16,11.8740157480315,1
213,"EagleBoys",2,"MidCrust","Hawaiian",28.79,11.3346456692913,1
214,"EagleBoys",2,"ThinCrust","SuperSupremo",29.45,11.5944881889764,1
215,"EagleBoys",2,"DeepPan","Hawaiian",28.77,11.3267716535433,1
216,"EagleBoys",2,"MidCrust","SuperSupremo",28.36,11.1653543307087,1
217,"Dominos",1,"ThinNCrispy","BBQMeatlovers",29.04,11.4330708661417,0
218,"Dominos",1,"DeepPan","Hawaiian",26.76,10.5354330708661,0
219,"Dominos",1,"ClassicCrust","Supreme",26.79,10.5472440944882,0
220,"EagleBoys",2,"DeepPan","Hawaiian",29.34,11.5511811023622,1
221,"EagleBoys",2,"MidCrust","SuperSupremo",28.96,11.4015748031496,1
222,"EagleBoys",2,"ThinCrust","BBQMeatlovers",29.71,11.6968503937008,1
223,"Dominos",1,"ClassicCrust","Hawaiian",26.3,10.3543307086614,0
224,"Dominos",1,"DeepPan","Hawaiian",26.6,10.4724409448819,0
225,"Dominos",1,"ClassicCrust","Supreme",26.54,10.4488188976378,0
226,"Dominos",1,"ThinNCrispy","BBQMeatlovers",28.94,11.3937007874016,0
227,"Dominos",1,"ThinNCrispy","Hawaiian",28.86,11.3622047244094,0
228,"Dominos",1,"DeepPan","Supreme",26.7,10.511811023622,0
229,"Dominos",1,"ThinNCrispy","Hawaiian",25.58,10.0708661417323,0
230,"Dominos",1,"DeepPan","Supreme",28.79,11.3346456692913,0
231,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.6,10.4724409448819,0
232,"EagleBoys",2,"ThinCrust","Hawaiian",28.71,11.3031496062992,1
233,"EagleBoys",2,"DeepPan","SuperSupremo",30.37,11.9566929133858,1
234,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.63,11.2716535433071,1
235,"EagleBoys",2,"DeepPan","BBQMeatlovers",29.09,11.4527559055118,1
236,"EagleBoys",2,"MidCrust","BBQMeatlovers",28.67,11.2874015748031,1
237,"EagleBoys",2,"DeepPan","BBQMeatlovers",30.02,11.8188976377953,1
238,"EagleBoys",2,"MidCrust","SuperSupremo",28.76,11.3228346456693,1
239,"EagleBoys",2,"ThinCrust","BBQMeatlovers",29.86,11.755905511811,1
240,"EagleBoys",2,"ThinCrust","Hawaiian",28.73,11.3110236220472,1
241,"Dominos",1,"ThinNCrispy","Supreme",28.97,11.4055118110236,0
242,"Dominos",1,"ClassicCrust","BBQMeatlovers",26.81,10.5551181102362,0
243,"Dominos",1,"DeepPan","BBQMeatlovers",27.1,10.6692913385827,0
244,"EagleBoys",2,"DeepPan","SuperSupremo",29.36,11.5590551181102,1
245,"EagleBoys",2,"ThinCrust","SuperSupremo",29.34,11.5511811023622,1
246,"EagleBoys",2,"MidCrust","Hawaiian",28.9,11.3779527559055,1
247,"Dominos",1,"ClassicCrust","Hawaiian",25.78,10.1496062992126,0
248,"Dominos",1,"ThinNCrispy","Supreme",28.84,11.3543307086614,0
249,"Dominos",1,"DeepPan","BBQMeatlovers",26.36,10.3779527559055,0
250,"Dominos",1,"DeepPan","Hawaiian",26.11,10.2795275590551,0
251,"Dominos",1,"ThinNCrispy","BBQMeatlovers",29.14,11.4724409448819,0
252,"Dominos",1,"ClassicCrust","Supreme",26.71,10.5157480314961,0
